ClaimId,Area,AssetType,Entity,Claim,ClaimType,SourceUrl,SourceTitle,RetrievedDate,Confidence,Verified,ContradictingClaimId,Limitations,ReviewBy,Notes
CLM-001,MarketLandscape,Canvas,PowerAppsUI,Homepage claims "27 Components" and "4 Templates",VendorClaim,https://powerappsui.com,PowerApps UI homepage,2026-09-24,High,Yes,,Homepage highlight count differs from full catalogue count (see CLM-002),2026-12-24,Directly fetched and read
CLM-002,MarketLandscape,Canvas,PowerAppsUI,Full catalogue page lists 35 total entries: 27 active Canvas components highlighted on homepage plus additional active/coming-soon entries; 34 active Canvas + 1 PCF (coming soon) + 7 coming-soon Canvas = 35 (per direct count),RepositoryEvidence,https://www.powerappsui.com/components,PowerApps UI components catalogue,2026-09-24,High,Yes,,Category/coming-soon labeling may change without notice; recount before relying on this,2026-12-24,Directly fetched and enumerated every listed entry
CLM-003,Licensing,Canvas,PowerAppsUI,"Every component template and layout is free and open source under the MIT license, usable in unlimited personal and commercial projects with no attribution required",VendorClaim,https://www.powerappsui.com/components,PowerApps UI site (FAQ/footer),2026-09-24,High,Partial,,MIT license terms themselves (attribution/notice preservation) were not independently re-verified against a LICENSE file in a linked repository; no public GitHub repo for the component source was located during this research,2026-12-24,"No-attribution claim is the vendor's own marketing wording, not confirmed against a canonical LICENSE file"
CLM-004,MarketLandscape,Canvas,PowerAppsUI,Homepage hero states "Production-ready components templates and patterns for Power Apps developers - built with Power Fx no PCF required",VendorClaim,https://powerappsui.com,PowerApps UI homepage,2026-09-24,High,Yes,,,,Directly fetched and read
CLM-005,MarketLandscape,Canvas,PowerAppsUI,"Multiple catalogue entries reference Material Design / Material Design 3 (Bottom Navigation Bar Chips Component Date Picker several coming-soon items); the Navigation Menu component is described as shadcn/ui-inspired",RepositoryEvidence,https://www.powerappsui.com/components,PowerApps UI components catalogue,2026-09-24,Medium,Yes,,Design-language attribution is read from component descriptions on the vendor's own site not from an independent design audit,2026-12-24,
CLM-006,MarketLandscape,PCF,PowerAppsUI,"The only PCF entry in the catalogue is ""PCF LeftNav (Canvas App)"" and is shown as coming soon, not shipped",RepositoryEvidence,https://www.powerappsui.com/components,PowerApps UI components catalogue,2026-09-24,Medium,Partial,,"Exact ""coming soon"" labeling for this specific entry vs. the other 7 coming-soon Canvas entries was not independently re-confirmed with a second fetch; treat as likely-accurate, not certain",2026-12-24,Product-owner instruction asserted this before this research ran; this research's independent fetch is consistent with it but did not re-isolate this one row with a dedicated query
CLM-007,Adoption,General,PowerAppsUI,"Site is run by a named solo individual, Rodas Yonass (""Solo builder - Power Platform developer""), as an open-source side project; no team or company structure disclosed",VendorClaim,https://www.powerappsui.com/services,PowerApps UI - About page,2026-09-24,High,Yes,,Self-description only; not independently corroborated via a third-party source (e.g. LinkedIn),2026-12-24,
CLM-008,MarketLandscape,General,PowerAppsUI,"A ""DocRouter"" product described as planned paid one-time (not subscription)",Unknown,,,2026-09-24,Low,No,,"Not found. Searched the homepage the full components catalogue and the About/services page directly; no mention of ""DocRouter"" located anywhere. May exist on a page not indexed or not discovered by this research, or may be inaccurate.",2026-12-24,Flagging explicitly per the instruction not to fill this gap with a plausible-sounding answer
CLM-009,PricingAdoption,Canvas,PowerLibs,"Pricing page headline: ""180+ Power Apps components""; library page headline: ""Choose a component out of 182""",VendorClaim,https://www.powerlibs.com/pricing; https://www.powerlibs.com/library,PowerLibs pricing and library pages,2026-09-24,High,Yes,,Two different exact numbers (180+ vs 182) appear on two different pages of the same site,2026-12-24,
CLM-010,PricingAdoption,Canvas,PowerLibs,"Summing every category count visible on the library page (Accordions 7 Animations 9 App Shells 6 Badge 7 Buttons 14 Calendars 3 Cards 10 Data Display 7 Drawer 6 Dropdowns 8 Gallery 7 Modals 14 Navigation Bars 5 Sidebars 7 Speed Dial 5 Steppers 5 Tabs 8 Toast 5 Tooltips 5 Toggles 9 Input Fields 17 Uploads 6) totals 170, a 12-component shortfall against the page's own ""182"" headline",ResearchInference,https://www.powerlibs.com/library,PowerLibs library page,2026-09-24,Medium,Partial,CLM-009,"Arithmetic performed on vendor-supplied category counts, not an independent component-by-component audit; some components may span multiple categories or be double-counted/omitted by the category taxonomy itself",2026-12-24,This is the discrepancy the product-owner instruction explicitly asked to be recorded
CLM-011,PricingAdoption,Canvas,PowerLibs,"Free tier: page states ""Copy any of the 14 free components"" and lists 14 named components",VendorClaim,https://www.powerlibs.com/library/free,PowerLibs free components page,2026-09-24,High,Yes,,,,
CLM-012,PricingAdoption,Canvas,PowerLibs,"Components plan: $99/year, includes 180+ components full apps YAML copy-paste Form Builder Logo Generator SVG Library PowerFX Toolkit Custom Components Community Library",VendorClaim,https://www.powerlibs.com/pricing,PowerLibs pricing page,2026-09-24,High,Yes,,Price is a snapshot; vendor pricing can change at any time,2026-10-24,
CLM-013,PricingAdoption,Canvas,PowerLibs,"Ultra plan: $149/year, marked as reduced from $199/year during a ""September sale"" (promotional, not the standing price); adds AI Tools integration (Claude Cursor Copilot) over the Components plan",VendorClaim,https://www.powerlibs.com/pricing,PowerLibs pricing page,2026-09-24,High,Yes,,"Promotional price observed at retrieval time; the ""standing"" $199/year price is itself a vendor claim, not independently confirmed as the true non-promotional baseline",2026-10-24,
CLM-014,PricingAdoption,Canvas,PowerLibs,"Lifetime plan: $499 one-time payment, all current and future components/tools permanently",VendorClaim,https://www.powerlibs.com/pricing,PowerLibs pricing page,2026-09-24,High,Yes,,Price is a snapshot; vendor pricing can change at any time,2026-10-24,
CLM-015,PricingAdoption,Canvas,PowerLibs,"Team Ultra Access: $199/seat/year, minimum 3 seats, includes full Ultra features per member plus a private team library and admin dashboard",VendorClaim,https://www.powerlibs.com/pricing,PowerLibs pricing page,2026-09-24,High,Yes,,Price is a snapshot; vendor pricing can change at any time,2026-10-24,
