ClaimId,Subject,Claim,ClaimType,SourceUrl,SourceTitle,RetrievedDate,Confidence,Validated,Limitation,ContradictingClaimId,ReviewBy
MON-001,AdSense,"Publishers may not click their own ads or use any means to inflate impressions/clicks artificially, including manual methods",OfficialDocumentation,https://support.google.com/adsense/answer/48182?hl=en,Google AdSense Program policies,2026-09-24,High,Yes,"Policy text can change; always re-check before any real integration",,2026-12-24
MON-002,AdSense,"Publishers may not ask others to click or view their ads, or use deceptive implementation methods to obtain clicks or views",OfficialDocumentation,https://support.google.com/adsense/answer/48182?hl=en,Google AdSense Program policies,2026-09-24,High,Yes,,,2026-12-24
MON-003,AdSense,"Ad labels must not be misleading - e.g. ""Sponsored Links""/""Advertisements"" are acceptable labels, ""Favorite Sites""/""Today's Top Offers"" are not",OfficialDocumentation,https://support.google.com/adsense/answer/48182?hl=en,Google AdSense Program policies,2026-09-24,High,Yes,,,2026-12-24
MON-004,EthicalAds,"States a preference for developer-focused sites doing 50k+ pageviews per month",VendorClaim,https://www.ethicalads.io/publishers/,EthicalAds Publisher page,2026-09-24,High,Yes,"A stated preference, not confirmed as an absolute hard cutoff that would reject every smaller site outright",,2026-12-24
MON-005,EthicalAds,"Requires being the only ad network on a page (a publisher's own promotions are fine); ad should be above the fold on desktop and mobile; should not disrupt the natural reading flow (placed above, beside, or below main content, not within it)",VendorClaim,https://www.ethicalads.io/publishers/,EthicalAds Publisher page,2026-09-24,High,Yes,,,2026-12-24
MON-006,CarbonAds,"A curated, exclusive native ad network for 350+ developer/design sites since 2010; evaluates audience relevance, monthly pageviews, active maintenance, and current network capacity when reviewing applications; publishers agree to show only Carbon ads (not usable as backfill alongside other networks); applications reviewed in 5-7 business days",VendorClaim,https://www.carbonads.net/join; https://www.carbonads.net/about,Carbon Ads join/about pages (via search-result summary),2026-09-24,Medium,Partial,"Summarized from search-result excerpts, not a full verbatim fetch of the primary pages",,2026-12-24
MON-007,GitHubSponsors,"No fee on sponsorships from personal accounts (100% to the sponsored developer/org); sponsorships from organization accounts carry up to a 6% fee (3% card-processing + 3% GitHub service fee, the card-processing portion waivable via invoiced billing)",OfficialDocumentation,https://docs.github.com/en/sponsors/sponsoring-open-source-contributors/about-sponsorships-fees-and-taxes,GitHub Docs - About sponsorships fees and taxes,2026-09-24,High,Yes,,,2026-12-24
MON-008,GitHubSponsors,"Eligibility requires contributing to an open source project (code, docs, issue triage, design, leadership, etc.) and residing/operating in a supported region",OfficialDocumentation,https://docs.github.com/en/sponsors/getting-started-with-github-sponsors/about-github-sponsors,GitHub Docs - About GitHub Sponsors,2026-09-24,High,Yes,,,2026-12-24
MON-009,GoogleContentGuidance,"""Who"": ""Is it self-evident to your visitors who authored your content?""; ""How"": it's helpful to readers to know how a piece of content was produced; ""Why"": content should primarily exist to help people, not primarily to attract search visits",OfficialDocumentation,https://developers.google.com/search/docs/fundamentals/creating-helpful-content,Google Search Central - Creating helpful reliable people-first content,2026-09-24,High,Yes,,,2026-12-24
MON-010,GoogleContentGuidance,"E-E-A-T: ""content demonstrates aspects of experience, expertise, authoritativeness, and trustworthiness... trust is most important""",OfficialDocumentation,https://developers.google.com/search/docs/fundamentals/creating-helpful-content,Google Search Central - Creating helpful reliable people-first content,2026-09-24,High,Yes,,,2026-12-24
MON-011,GoogleContentGuidance,"If automation/AI-generation is used to substantially generate content, ask whether that use is self-evident to visitors through disclosure; using automation/AI-generation for the primary purpose of manipulating search rankings violates Google's spam policies",OfficialDocumentation,https://developers.google.com/search/docs/fundamentals/creating-helpful-content,Google Search Central - Creating helpful reliable people-first content,2026-09-24,High,Yes,"Does not state a universal disclosure MANDATE for all AI-assisted content in all cases - the guidance is framed as a self-assessment question, not a blanket rule; treat precisely, do not over-state",,2026-12-24
MON-012,GoogleContentGuidance,"Advises avoiding content ""mass-produced by or outsourced to a large number of creators"" and content that is ""mainly summarizing what others have to say without adding much value""",OfficialDocumentation,https://developers.google.com/search/docs/fundamentals/creating-helpful-content,Google Search Central - Creating helpful reliable people-first content,2026-09-24,High,Yes,,,2026-12-24
MON-013,FTC,"A material connection requiring disclosure is defined broadly: ""if there's a connection between an endorser and the marketer that a significant minority of consumers wouldn't expect and it would affect how they evaluate the endorsement, that connection should be disclosed clearly and conspicuously""; can be financial, or based on friendship, family, employment, or deals between acquaintances",OfficialDocumentation,https://www.ftc.gov/business-guidance/resources/ftcs-endorsement-guides-what-people-are-asking,FTC - Endorsement Guides: What People Are Asking,2026-09-24,High,Yes,,,2026-12-24
MON-014,FTC,"""Clear and conspicuous"" requires the disclosure to catch attention and not be easy to miss, use a simple-to-read font with contrasting background, and be worded clearly/unambiguously for the ordinary reader",OfficialDocumentation,https://www.ftc.gov/business-guidance/resources/ftcs-endorsement-guides-what-people-are-asking,FTC - Endorsement Guides: What People Are Asking,2026-09-24,High,Yes,,,2026-12-24
MON-015,FTC,"The word ""affiliate link"" alone is NOT sufficient disclosure (""Consumers might not understand that 'affiliate link' means that the person placing the link is getting paid for purchases made through the link""); ""paid link"" placed right next to the link is considered adequate",OfficialDocumentation,https://www.ftc.gov/business-guidance/resources/ftcs-endorsement-guides-what-people-are-asking,FTC - Endorsement Guides: What People Are Asking,2026-09-24,High,Yes,,,2026-12-24
MON-016,FTC,"The advertiser/operator (not only the individual endorser or affiliate) is directly responsible for disclosure compliance: ""Your company is ultimately responsible for what others do on your behalf"" and must have reasonable programs to train/monitor its network",OfficialDocumentation,https://www.ftc.gov/business-guidance/resources/ftcs-endorsement-guides-what-people-are-asking,FTC - Endorsement Guides: What People Are Asking,2026-09-24,High,Yes,"US-specific guidance; this project's own launch-jurisdiction scope (open question 3) is narrowed to Canada and the US, so this is directly applicable, but a Canadian-specific equivalent (Competition Bureau guidance) was not researched in this pass",,2026-12-24
MON-017,Architecture,"No Price, Coupon, CheckoutSession, Order, OrderLine, PaymentEvent, Refund, TaxRecord, or InvoiceReference Prisma model exists; packages/domain/commerce and packages/adapters/payments each contain only a README.md, no src/ directory, no Stripe dependency in source code anywhere in the repo",RepositoryEvidence,"packages/db/prisma/schema/*.prisma; packages/domain/commerce/README.md; packages/adapters/payments/README.md","Direct repository read (Explore agent, this session)",2026-09-24,High,Yes,"Confirms planning/status.md's own claim that MVP-007 is Ready not Done, from independent code evidence rather than trusting the status file alone",,2026-12-24
MON-018,Architecture,"Entitlement (entitlements.prisma) is real but free-only today: its source enum has only one value, FREE_POLICY; unique on [userId, productId] (one row per user+product, not per release); revokedAt exists but is never set by any code path",RepositoryEvidence,packages/db/prisma/schema/entitlements.prisma,"Direct repository read (Explore agent, this session)",2026-09-24,High,Yes,,,2026-12-24
MON-019,Architecture,"ProductLicense (evidence.prisma) is a minimal composite-key join table (productId + licenseDefinitionId + createdAt only) - no price or seat-count field exists on it",RepositoryEvidence,packages/db/prisma/schema/evidence.prisma,"Direct repository read (Explore agent, this session)",2026-09-24,High,Yes,,,2026-12-24
MON-020,Architecture,"No CreatorProfile, CreatorApplication, AgreementAcceptance, ProductSubmission, ModerationReview, ModerationComment, or TakedownCase Prisma model exists; packages/domain/creator contains only a README.md, no src/",RepositoryEvidence,packages/db/prisma/schema/*.prisma; packages/domain/creator/README.md,"Direct repository read (Explore agent, this session)",2026-09-24,High,Yes,"Confirms MVP-011 is Ready not Done from independent code evidence",,2026-12-24
MON-021,Architecture,"No FeatureFlag model or feature-flag-checking mechanism (e.g. an isFeatureEnabled function) exists anywhere in the repository; a repo-wide grep for both terms returns exactly one match each, the same single placeholder line in docs/06-data-model.md",RepositoryEvidence,"repo-wide grep, packages/db/prisma/schema/*.prisma, apps/web, packages/*","Direct repository read (Explore agent, this session)",2026-09-24,High,Yes,"A from-scratch build if ever needed for monetization gating, not a minor extension of existing infrastructure",,2026-12-24
MON-022,Architecture,"No AnalyticsEvent model exists; packages/domain/analytics contains only a README stating FR-016 has no backlog story and the candidate home is MVP-022",RepositoryEvidence,packages/db/prisma/schema/*.prisma; packages/domain/analytics/README.md,"Direct repository read (Explore agent, this session)",2026-09-24,High,Yes,,,2026-12-24
MON-023,Architecture,"ConsentRecord (privacy.prisma) currently has exactly two ConsentCategory enum values: TERMS_OF_SERVICE and MARKETING_EMAIL - one single optional/marketing category, not multiple newsletter sub-categories",RepositoryEvidence,packages/db/prisma/schema/privacy.prisma,"Direct repository read (Explore agent, this session)",2026-09-24,High,Yes,"A per-category newsletter system would need this enum extended, a real but bounded schema change",,2026-12-24
MON-024,Architecture,"Article's buildArticleJsonLd uses schema.org type TechArticle and emits dateModified (from updatedAt), but deliberately emits no author field - an explicit code comment states the codebase has no approved way to expose a user's identity in public structured data, since every Article's author today is an internal ADMIN, not a public byline; no reviewer field exists in any JSON-LD builder",RepositoryEvidence,apps/web/lib/seo/json-ld.ts,"Direct repository read (Explore agent, this session)",2026-09-24,High,Yes,,,2026-12-24
MON-025,Architecture,"Article has no author bio/credentials field, no source-citation field, and no content-versioning/revision-history or freshness-review-date field distinct from updatedAt; ArticlePublishEvent is confirmed append-only (no UPDATE issued against it anywhere in content-repository.ts)","RepositoryEvidence","packages/db/prisma/schema/content.prisma; packages/adapters/content/src/content-repository.ts","Direct repository read (Explore agent, this session)",2026-09-24,High,Yes,,,2026-12-24
MON-026,Architecture,"Product JSON-LD is deliberately emitted without Offer/price/currency/availability/aggregateRating/seller/brand data, per an explicit code comment stating this is withheld until pricing, currency, tax and checkout are modeled and approved - independent confirmation of commerce's placeholder-only status from the SEO layer, not just from the schema layer",RepositoryEvidence,apps/web/lib/seo/json-ld.ts,"Direct repository read (Explore agent, this session)",2026-09-24,High,Yes,,,2026-12-24
