ID,Title,Severity,Related Story,Related Requirement,Status,Found Date,Description
BUG-001,"Delivered pages emit relative canonical/og:url tags and sign-in/account pages are indexable",P3,MVP-003;MVP-004;MVP-005,FR-017,Resolved,2026-09-21,"Found during MVP-021 pre-work. A production-build probe with the same metadata shape as the product/category pages emitted relative canonical and og:url values and a localhost-based og:image (no metadataBase is set); sign-in and account pages carry no robots directive. No production deployment exists so nothing was exposed. Resolved by MVP-021 (PR #5, FR-017). See planning/bugs/BUG-001.md."
BUG-002,"A repeated query parameter (?q=a&q=b) makes /search and category pages return HTTP 500",P3,MVP-004,FR-002,Open,2026-09-21,"normalizeQuery calls .trim() on a value Next.js passes as an array for a repeated parameter, so /search and category pages throw TypeError and return 500. Found while verifying MVP-021 against real pages; the code is unchanged by MVP-021 and out of its scope (MVP-004 search behavior may not be modified). See planning/bugs/BUG-002.md."
BUG-003,"Keyboard focus indicator is invisible on primary-coloured controls (the Search button)",P2,MVP-003;MVP-004,NFR-001,"Fixed (PR #6, pending merge)",2026-09-21,"Focus outline is currentColor, so it is near-white on the white-text Search button over a white page: 1.06:1 measured (WCAG 2.4.7, 1.4.11). axe cannot detect it. See planning/bugs/BUG-003.md."
BUG-004,"Search input boundary and placeholder text are below contrast thresholds",P3,MVP-004,NFR-001,"Fixed (PR #6, pending merge)",2026-09-21,"Input border 1.35:1 against the page (needs 3:1, WCAG 1.4.11) and placeholder 3.46:1 (needs 4.5:1, WCAG 1.4.3); the placeholder is the only visible label. See planning/bugs/BUG-004.md."
BUG-005,"Sign-in: generic error, focus dropped after submit, unstyled page and non-descriptive title",P2,MVP-002,NFR-001,"Fixed (PR #6, pending merge)",2026-09-21,"Empty or invalid email yields only a generic error that does not identify the field (3.3.1, 3.3.3); focus falls to body after submit (2.4.3); page is unstyled; title is the site name (2.4.2). See planning/bugs/BUG-005.md."
BUG-006,"Account sessions: focus lost and nothing announced after revoking a session; unstyled page",P3,MVP-002,NFR-001,"Fixed (PR #6, pending merge)",2026-09-21,"Revoke removes the session silently (4.1.3) and drops focus to body (2.4.3); page is unstyled with a site-name title (2.4.2). See planning/bugs/BUG-006.md."
BUG-007,"Heading levels skipped (h1 then h3) in product card lists on category and search pages",P3,MVP-003;MVP-004,NFR-001,"Fixed (PR #6, pending merge)",2026-09-21,"ProductCard titles are h3 with no h2 between; axe heading-order (best-practice) on category and search pages at every width. See planning/bugs/BUG-007.md."
BUG-008,"The default 404 page has no main landmark and a non-descriptive title",P3,MVP-003,NFR-001,"Fixed (PR #6, pending merge)",2026-09-21,"No custom not-found page exists; axe landmark-one-main and region on the framework default, title is the site name (2.4.2). See planning/bugs/BUG-008.md."
BUG-009,"The sign-in and account sessions pages are unstyled (advisory)",P3,MVP-002,NFR-001,Open,2026-09-21,"Both pages use browser-default styling. Not a WCAG A/AA failure (accessibility rubric P4); deliberately not restyled in MVP-023. See planning/bugs/BUG-009.md."
BUG-010,"Session revoke: keyboard focus is still lost when the revoke request fails",P3,MVP-002,NFR-001,Open,2026-09-21,"The Revoke button is disabled while its request runs, which drops focus; MVP-023 F7 fixed the success path only. See planning/bugs/BUG-010.md."
BUG-011,"Sign-in stays in its sending state forever if the sign-in request throws",P3,MVP-002,NFR-001,Open,2026-09-21,"handleSubmit has no try/catch around signIn(); a network failure leaves the form stuck until reload (unchanged behavior). See planning/bugs/BUG-011.md."
BUG-012,"A production build opens a new Postgres connection pool for every database query (@ppu/db does not cache its client when NODE_ENV=production)",P1,MVP-002,n/a,Resolved,2026-09-21,"Reproduced: 40 queries leave 41 open connections in production mode and 1 in development. Caused three HTTP 500 test failures in MVP-023's first CI run (Postgres too many clients, Prisma P2037). Root-fixed by MVP-023 (commit e43e1aa): the client is now cached on globalThis in every environment, not only development/test. Confirmed by the actual merged CI run (35702619219, commit 7e10c4a): 0 TooManyConnections/P2037 occurrences in the raw log. Open question 43 is DECIDED (option A). See planning/bugs/BUG-012.md."
BUG-013,"Document title briefly disappears in Firefox after revoking a session (router.refresh())",P3,MVP-002,NFR-001,"Mitigation applied (candidate a); root cause, awaiting approval",2026-09-21,"Firefox only, 2 of 5 CI runs, never reproduced locally: <title> element is removed from <head> entirely during router.refresh() after a revoke; Next's own route announcer read document.title as empty at that moment (direct evidence), corroborated by the failure-time HTML snapshot showing no <title> element. Classified product-defect by the pre-registered criterion. See planning/bugs/BUG-013.md."
BUG-014,"Firefox @320px: sign-in submit produces no network request and no client validation (intermittent, unexplained)",P3,MVP-002,NFR-001,"Open - monitoring, permanently instrumented, three occurrences across sixteen CI runs, not blocking",2026-09-21,"Retitled after a second occurrence (run 7): same control, same engine, same width, no handler effect. A third occurrence (run 15) recurred on a fully self-check-verified instrument; evidence is STILL UNREADABLE (neither TEST DEFECT nor PRODUCT DEFECT under any criterion applied so far). Same cause is suspected, not proven. Extended failure-evidence instrumentation (hit test, hydration marker, click/submit event trace, observer liveness, navigation events, native-submit detection) now captures this on any recurrence. Does not block MVP-023; MVP-023 merged with this record open. See planning/bugs/BUG-014.md."
BUG-015,"catalog-repository.integration.test.ts's listSitemapEntries test can see a PUBLISHED product created by a concurrently-running package's own integration suite",P3,MVP-021,FR-017,Open,2026-09-23,"Found while verifying CI on PR #12 (accessibility suite sharding, unrelated). @ppu/adapter-catalog and @ppu/adapter-entitlements' integration suites can run concurrently against the same shared CI Postgres container with no cross-package isolation; entitlements' entitlement-repo-product fixture landed inside catalog's two-call sitemap-order assertion, failing it once. Confirmed flaky, not deterministic, by re-running the identical commit's job (passed clean). No fix applied; the isolation-strategy decision is unmade. See planning/bugs/BUG-015.md."
